pi@ubuntu:~/swarm-ros$ tail -n 600 /home/pi/.pm2/logs/ai-flight-error.log 
[INFO] [1760434484.710875195] [ai_flight_node]: [tick 003513] /ai/action -> vx=+0.451, vy=-0.219, vz=+0.424, speed=+0.430   [25.82 ms]
[INFO] [1760434484.812515403] [ai_flight_node]: [tick 003514] /ai/action -> vx=+0.451, vy=-0.219, vz=+0.424, speed=+0.430   [27.66 ms]
[INFO] [1760434484.912486882] [ai_flight_node]: [tick 003515] /ai/action -> vx=+0.449, vy=-0.242, vz=+0.424, speed=+0.428   [27.41 ms]
[INFO] [1760434485.012180238] [ai_flight_node]: [tick 003516] /ai/action -> vx=+0.450, vy=-0.242, vz=+0.424, speed=+0.428   [27.05 ms]
[INFO] [1760434485.111677399] [ai_flight_node]: [tick 003517] /ai/action -> vx=+0.450, vy=-0.241, vz=+0.424, speed=+0.428   [26.71 ms]
[INFO] [1760434485.210750710] [ai_flight_node]: [tick 003518] /ai/action -> vx=+0.451, vy=-0.241, vz=+0.424, speed=+0.428   [25.80 ms]
[INFO] [1760434485.311103068] [ai_flight_node]: [tick 003519] /ai/action -> vx=+0.452, vy=-0.240, vz=+0.423, speed=+0.428   [25.73 ms]
[INFO] [1760434485.410486428] [ai_flight_node]: [tick 003520] /ai/action -> vx=+0.452, vy=-0.240, vz=+0.423, speed=+0.428   [25.30 ms]
[INFO] [1760434485.512177936] [ai_flight_node]: [tick 003521] /ai/action -> vx=+0.454, vy=-0.240, vz=+0.422, speed=+0.428   [27.08 ms]
[INFO] [1760434485.610494695] [ai_flight_node]: [tick 003522] /ai/action -> vx=+0.454, vy=-0.239, vz=+0.422, speed=+0.428   [25.49 ms]
[INFO] [1760434485.712980256] [ai_flight_node]: [tick 003523] /ai/action -> vx=+0.454, vy=-0.239, vz=+0.422, speed=+0.428   [27.99 ms]
[INFO] [1760434485.810070258] [ai_flight_node]: [tick 003524] /ai/action -> vx=+0.455, vy=-0.239, vz=+0.421, speed=+0.428   [25.09 ms]
